id,source,issue,batch
arg525686,"tv is better than book dathu ihfej tijkjdrk xtklp09 guil09 sfjiiytg dh,lut457 p[];o;l",Tv is better than books,1
73625,"Do gay marriages hurt anyone? No. Do gay marriages kill many people? No. Are gay marriages going to end the world? No. Are gay marriages in anyway affecting anyone but the two getting married? No. Then why the hell do straight ppl get so offensive? If you want marrage to just be between you fine let them do something else to show they love each other. Bottom line, if you love someone you should be allowed to be with them. God accepts everyone, his people should follow that. Bottom line, it should be a sin to kep two people who love each other apart. Enough said.",Gay marriage right or wrong,1
arg213296,"When you read a book you economize your money. I would like to mention that when you read a book, you do not need to buy any devices for reading and it is not necessary to use electricity.",Tv is better than books,1
arg200133,"school uniform does no harm to students life emotions now as for the point of expressing oneself imagine one bully wearing shirt,tie,pant all neatly ironed and well polished shoes wont he look good.remember dressing sense also is a part of ur interveiw",Is the school uniform a good or bad idea,1
arg33060,I think that advancing the common good is better than personal pursuit. The reason for this is that it is better to help others than just to think about yourself. We need to improve our community first before we think about ourselves. If everyone tried to take care of their community then there would be no dangerous places.,Personal pursuit or advancing the common good,1
arg238471,"I take the view that, school uniform is very comfortable. Because there is the gap between the rich and poor, school uniform is efficient in many ways. If they wore to plain clothes every day, they concerned about clothes by brand and quantity of clothes. Every teenager is sensible so the poor students can feel inferior. Although school uniform is very expensive , it is cheap better than plain clothes. Also they feel sense of kinship and sense of belonging. In my case, school uniform is convenient. I don't have to worry about my clothes during my student days.",Is the school uniform a good or bad idea,1
arg168818,"To me, a founder would be a leader, well respected by the organisation/group he is managing. Both Raffles and Farquhar were good leaders. However, when William Farquhar was sent off to Britain, more people went to send him off than the combined number of people that sent Raffles off during the three times Raffles left Singapore. This shows that the people of Singapore respected Farquhar more than Raffles, and to them, Farquhar was a more competent leader.",William farquhar ought to be honoured as the rightful founder of singapore,1
12592,I can prove to you that humans have not evolved since the beginning of recorded history,Evolution vs creation,1
1683,"In the United States of America, pro-choice is the only constitutional way to go. Elsewhere in the world, people will do whatever they want.",Pro choice vs pro life,1
arg542561,"THE SCHOOL UNIFORM IS A VERY GOOOOOOOOOD IDEA , WHY ??  becouse the school uniform makes pupils concentrated on their education than on their clothes and I believe that school uniform instills discipline among pupils it makes pupils with diferent material statuses more equal :)",Is the school uniform a good or bad idea,1
arg145468,"All we can say is a big IF because we are not yet 100% sure if this nation itself could lead the whole world. Who knows maybe in the future that India could fail to lead us. There are still other countries who are more progressive, more literated, more powerful than India, like the USA, United Kingdom, Russia, Japan, etc. This nation doesn't have yet enought potentials and ability to sustain the needs of the people. India is not yet that full of technologies like in the Americas. Well in fact technology is one of the most sophisticated and essential inventions ever created.",India has the potential to lead the world,1
arg317750,I thick that book are better than TV is it is better i can put you in a whole norther wold and it is educational,Tv is better than books,1
arg106426,Do we have the potential?  Yes.  The only competition we have is China who has done a much better job for the long run.  But then again the way India runs.. it always makes order out of chaos.,India has the potential to lead the world,1
arg231620,"For reasons that should be totally obvious, and which I would assume have been thoroughly fleshed out by others involved.",Christianity or atheism,1
arg219259,"Bottled water is somewhat less likely to be found in developing countries, where public water is least safe to drink. Many government programs regularly disperse bottled water for various reasons. Distributing small bottles of water is much easier than distributing large bulk storages of water. Also contamination from large water storage containers is much more likely than from single 12-20 ounce bottles of water.",Ban plastic water bottles,1
arg470033,"I think T.V. is more helpful as the you can watch and listen to something being explained like if we read about budding or spore formation we have to create an image about that in mind, but when we watch the animation of budding then we could understand better. Some people can't even imagine so T.V. is helpful. As concerning the time limit or harm to our eyes, we should watch T.V. in a limit, because the excess of everything is harmful, even reading of books.  Surveys have found that a normal person can remember 10% of what he had read and 50% of what he had listened and watched.",Tv is better than books,1
33757,"There's no reason at all why anyone could say IE is better. Firefox is proven to be safer, faster, and sleeker. You can customize it to look any way you want, and you can add any functionality you can think of. It even has a more original name!",Firefox vs internet explorer,1
arg167721,"It was undoubtedly Raffles' ambition and vision which led him to search for another British base in the Straits of Malacca, and to select Singapore as the best location to achieve British economic and strategic objectives in the region. Without Raffles, it is likely that Singapore would have remained a sparsely inhabited island, on the margins of the Dutch colonial empire in the East Indies.",William farquhar ought to be honoured as the rightful founder of singapore,1
arg199549,"Another reason argued against school uniforms is that they deprive the children of their individuality. The stress on a uniform dress code in school opposes the spirit of unity in diversity and its celebration. It is even claimed to restrict socialization, a vital aspect of human nature.",Is the school uniform a good or bad idea,1
arg33082,"Both endeavors are better to be part of.But I as an individual I would like to advance the common good in this society to become unpetty with each other,to do things way better than they use to.Everyone in this world knows what they want to be. To be alone pursuing their dreams without the help of others, but some other will help the community to make it safe and better.To teach them what they are capable of,to beleive in themselfs that they can do as the things wealthy people does.",Personal pursuit or advancing the common good,1
arg33119,"I fell like advancing the common goods is better than personal pursuit because most people will look out for themselves rather than look out for others. Looking out for yourself before lookin out for others won't do alot of good in the long run. I believe in the what goes around comes around thing so when you do something for other people before you try to please yourself, not only does it help them but something good will also come back to you helping you better yourself.",Personal pursuit or advancing the common good,1
arg33293,i would turn in my wife because its wrong to kill someone. it could have been an accident but it was still wrong and besides the police are going to find out who killed that person but i don't want her to leave me for a long period of time so i would tell but then again i wouldn't.,If your spouse committed murder and he or she confided in you would you turn them in,1
arg168836,"Farquhar has a boss!(raffles) he has to follow raffles and not go about doing anything else if then why cant farquhar help singapore after he was fired? I say again you do need to be in a certain position to be a founder as time, money, effort is all invested. You must know people who would help you.",William farquhar ought to be honoured as the rightful founder of singapore,1
arg35676,"I wouldn't live my life right if I never got to meet my father. I wouldn't care if I grew up and had lousy father even if he has no job or life and maybe even an alcohlic. Having a father means alot especially if your boy because most fathers are friends to, so you can talk to them about guy problems and they would understand the situation and with just living with your mother you couldn't because she's a woman and her views are different then a guy. Whether its a good or lousy father they will always be there for you at sometime in life.",Is it better to have a lousy father or to be fatherless,1
arg363603,I think TV is better if you are watching an informational channel and it is better than books because you can switch to different informational channels an search documentaries on different subjects and when you are done learning and ready to relax you can switch to a funny show or what ever you want to watch.,Tv is better than books,1
arg240625,christians are also fun to lawl at because they waste half of their sunday going to church. What a waste!!!! HAHAHA,Christianity or atheism,1
76359,Firefox of course. And I like this website but I don't find it very clear. This one is better : theworlddebating.com,Firefox vs internet explorer,1
28068,"""Debates are based on convincing evidence. There is very little evidence supporting creation, while there are massive amounts supporting an evolutionary argument.""  True. But, evidence must withstand the test of accepted truth. We can't say that creation is false, because there is no explanation provided for the origins of the ""particles"" that caused the evolution theory. Although the evolution theory is interesting, and quite possible, it does not rule out creation. Since creation cannot be ruled out in any way, and evolution can, creation is the best possible theory.",Evolution vs creation,1
415,Really great arguments why IE is supposed to be a better browser... NOT!,Firefox vs internet explorer,1
arg35700,I would have to choose a lousy father. I think having a father figure around even though he might not do much for you or the family is better than none. A father to me plays a huge role in a childs life he keeps thing stable throughout your childhood. My father is pretty lousy but he does support me and helps out sometimes I would rather have a father than none.,Is it better to have a lousy father or to be fatherless,1
79734,jarman:  porn is wrong because it sholud be in 4-D with surround sound and special effects :) it would make it much more pleasurable btw im a girl........,Is porn wrong,1
arg126374,"India certainly has d potentials 2 lead d world......  in our real world power and weapons doesn't work any more  maybe...................................  maybe USA,UK or such other contries are more powerful but India is economically more strong.it is d hub 4 many other companies.",India has the potential to lead the world,1
arg231770,i thik thier bad because i think ushould be free with out nobody telling u wat to do,Is the school uniform a good or bad idea,1
70855,"There has to have been a creator. If you believe in 'The Big Bang', then that's fine. But what caused it? And if it was caused by certain gases reacting with each other, then where did those gases come from? It doesn't matter how you think this universe came to be. The point is that it can't have just appeared. There must have been a creator.",Evolution vs creation,1
arg108968,"When the U.S. fought the Brits for their independence, the Brits wore a red uniform. Every time the Americans saw a British soldier, they would yell, ""The red coats are coming, the red coats are coming.""  If India ever tried to take over the U.S., Americans would be forced to yell, ""The red dots are coming, the red dots are coming."" ;)",India has the potential to lead the world,1
